Participant ID,Group,Number of Recordings,time (ms),time (s),time (m),AVG time by ID,AVG # recordings by ID
1,High,1,106788,106.79,1.78,151.33,1.2
1,High,1,208635,208.64,3.48,151.33,1.2
1,High,1,122481,122.48,2.04,151.33,1.2
1,High,1,145480,145.48,2.42,151.33,1.2
1,High,2,173265,173.27,2.89,151.33,1.2
2,High,1,96515,96.52,1.61,82.63,1.0
2,High,1,76198,76.20,1.27,82.63,1.0
2,High,1,109713,109.71,1.83,82.63,1.0
2,High,1,59516,59.52,0.99,82.63,1.0
2,High,1,71229,71.23,1.19,82.63,1.0
3,Low,1,65150,65.15,1.09,95.46,1.0
3,Low,1,52031,52.03,0.87,95.46,1.0
3,Low,1,100131,100.13,1.67,95.46,1.0
3,Low,1,126281,126.28,2.10,95.46,1.0
3,Low,1,133696,133.70,2.23,95.46,1.0
4,High,1,344331,344.33,5.74,176.11,1.0
4,High,1,170747,170.75,2.85,176.11,1.0
4,High,1,107716,107.72,1.80,176.11,1.0
4,High,1,123928,123.93,2.07,176.11,1.0
4,High,1,133849,133.85,2.23,176.11,1.0
5,Low,1,235602,235.60,3.93,162.63,2.2
5,Low,1,104578,104.58,1.74,162.63,2.2
5,Low,3,137498,137.50,2.29,162.63,2.2
5,Low,5,199494,199.49,3.32,162.63,2.2
5,Low,1,135999,136.00,2.27,162.63,2.2
6,Low,1,180831,180.83,3.01,186.82,4.2
6,Low,2,260731,260.73,4.35,186.82,4.2
6,Low,2,79679,79.68,1.33,186.82,4.2
6,Low,14,316524,316.52,5.28,186.82,4.2
6,Low,2,96329,96.33,1.61,186.82,4.2
7,High,1,219615,219.62,3.66,168.57,1.2
7,High,2,382288,382.29,6.37,168.57,1.2
7,High,1,124863,124.86,2.08,168.57,1.2
7,High,1,58080,58.08,0.97,168.57,1.2
7,High,1,57982,57.98,0.97,168.57,1.2
8,Low,1,56682,56.68,0.94,78.44,1.0
8,Low,1,70026,70.03,1.17,78.44,1.0
8,Low,1,87718,87.72,1.46,78.44,1.0
8,Low,1,83973,83.97,1.40,78.44,1.0
8,Low,1,93807,93.81,1.56,78.44,1.0